"doi","altmetric","author_no"
"10.1177/20563051251315265",1,3
"10.1177/20563051251316117",NA,2
"10.1177/20563051251313662",4,1
"10.1177/20563051251315255",1,3
"10.1177/20563051251316119",1,2
"10.1177/20563051251314611",14,7
"10.1177/20563051251313847",3,4
"10.1177/20563051241306421",52,4
"10.1177/20563051251313855",2,4
"10.1177/20563051251313844",1,2
"10.1177/20563051251313661",2,2
"10.1177/20563051251313665",3,2
"10.1177/20563051251313610",NA,1
"10.1177/20563051241309497",NA,2
"10.1177/20563051241311962",1,1
"10.1177/20563051241308323",15,1
"10.1177/20563051241301203",NA,2
"10.1177/20563051241309499",2,2
"10.1177/20563051241308330",1,1
"10.1177/20563051241306382",11,3
"10.1177/20563051241308326",1,3
"10.1177/20563051241308597",1,2
"10.1177/20563051241308321",2,2
"10.1177/20563051241306540",2,3
"10.1177/20563051241306331",NA,4
"10.1177/20563051241306323",1,4
"10.1177/20563051241306322",NA,3
"10.1177/20563051241302154",NA,2
"10.1177/20563051241306833",6,3
"10.1177/20563051241306318",NA,2
"10.1177/20563051241304493",9,1
"10.1177/20563051241303362",1,3
"10.1177/20563051241299835",5,2
"10.1177/20563051241303363",2,2
"10.1177/20563051241301202",3,1
"10.1177/20563051241299829",NA,2
"10.1177/20563051241302153",1,2
"10.1177/20563051241301265",3,2
"10.1177/20563051241296256",5,1
"10.1177/20563051241301841",NA,4
"10.1177/20563051241301200",19,2
"10.1177/20563051241286702",NA,5
"10.1177/20563051241298449",NA,3
"10.1177/20563051241298415",NA,2
"10.1177/20563051241302145",1,7
"10.1177/20563051241298446",NA,3
"10.1177/20563051241293623",NA,6
"10.1177/20563051241298042",NA,6
"10.1177/20563051241296229",3,1
"10.1177/20563051241295800",17,1
"10.1177/20563051241293484",4,3
"10.1177/20563051241292990",2,1
"10.1177/20563051241292578",NA,5
"10.1177/20563051241292577",NA,1
"10.1177/20563051241292571",11,3
"10.1177/20563051241290848",3,1
"10.1177/20563051241290845",4,5
"10.1177/20563051241290334",9,2
"10.1177/20563051241288809",NA,2
"10.1177/20563051241288448",NA,4
"10.1177/20563051241290113",9,2
"10.1177/20563051241288942",6,3
"10.1177/20563051241288960",4,2
"10.1177/20563051241287284",NA,3
"10.1177/20563051241286850",NA,1
"10.1177/20563051241286700",1,1
"10.1177/20563051241279552",NA,3
"10.1177/20563051241285774",1,3
"10.1177/20563051241279549",NA,5
"10.1177/20563051241285777",NA,1
"10.1177/20563051241279255",4,2
"10.1177/20563051241279253",1,4
"10.1177/20563051241283426",1,3
"10.1177/20563051241283301",5,2
"10.1177/20563051241279258",1,2
"10.1177/20563051241277607",NA,5
"10.1177/20563051241274658",9,1
"10.1177/20563051241269305",2,2
"10.1177/20563051241277606",8,4
"10.1177/20563051241277603",7,2
"10.1177/20563051241274669",10,2
"10.1177/20563051241279248",14,1
"10.1177/20563051241277601",20,1
"10.1177/20563051241277293",NA,3
"10.1177/20563051241274688",NA,1
"10.1177/20563051241277313",NA,2
"10.1177/20563051241269283",NA,2
"10.1177/20563051241274665",24,1
"10.1177/20563051241274680",1,1
"10.1177/20563051241274677",10,3
"10.1177/20563051241274676",NA,3
"10.1177/20563051241274672",NA,3
"10.1177/20563051241269281",35,2
"10.1177/20563051241274657",NA,2
"10.1177/20563051241274673",1,2
"10.1177/20563051241274667",NA,1
"10.1177/20563051241274668",33,7
"10.1177/20563051241274675",NA,6
"10.1177/20563051241269291",1,1
"10.1177/20563051241269326",NA,2
"10.1177/20563051241269306",NA,1
"10.1177/20563051241269299",NA,2
"10.1177/20563051241269296",NA,6
"10.1177/20563051241269288",2,3
"10.1177/20563051241269278",6,2
"10.1177/20563051241269269",19,4
"10.1177/20563051241269266",NA,3
"10.1177/20563051241269260",11,1
"10.1177/20563051241265863",2,2
"10.1177/20563051241269318",9,2
"10.1177/20563051241269307",NA,1
"10.1177/20563051241265865",3,2
"10.1177/20563051241263562",1,5
